alus_id;nimi;alustyyppi;Tilakoodi;Ensirekisterointipvm;Uusikotimaa;Vanhakotimaa;Rakennusvuosi;Rakennusmaa;Rakennuspaikka;omistajuustyyppi;asiakkaan_kuntatieto;aluksen_satamapaikka;Kantavuus;JaaluokkaKoodi;Nettovetoisuus;Bruttovetoisuus;Pituus;Suurinpituus;Mallisyvays;Mallikorkeus;Leveys;
"297";"Paul Wahl";"5";"VESSEL_REGISTERED_FI";"18.03.1968";"";"246";"";"";"";"1";"740";"Savonlinna";"125";"";"61";"109";"25,16";"";"1,91";"2,54";"5,81";
"297";"Paul Wahl";"5";"VESSEL_REGISTERED_FI";"18.03.1968";"";"246";"1919";"246";"Varkaus";"3";"609";"Savonlinna";"125";"";"61";"109";"25,16";"";"1,91";"2,54";"5,81";
"298";"Jorma II";"11";"VESSEL_REGISTERED_FI";"20.08.1971";"";"246";"";"";"";"1";"980";"Helsinki";"";"";"24";"81";"23,23";"24,57";"2,29";"2,48";"4,45";
"298";"Jorma II";"11";"VESSEL_REGISTERED_FI";"20.08.1971";"";"246";"1914";"246";"Varkaus";"3";"609";"Helsinki";"";"";"24";"81";"23,23";"24,57";"2,29";"2,48";"4,45";
"299";"Maria";"11";"VESSEL_REGISTERED_FI";"03.11.1986";"";"246";"";"";"";"1";"";"Pori";"";"";"0";"21";"15,50";"15,60";"";"1,49";"3,81";
"299";"Maria";"11";"VESSEL_REGISTERED_FI";"03.11.1986";"";"246";"1916";"246";"Varkaus";"3";"609";"Pori";"";"";"0";"21";"15,50";"15,60";"";"1,49";"3,81";
"300";"Anu";"11";"VESSEL_REGISTERED_FI";"29.12.1989";"";"246";"";"";"";"1";"199";"Savonlinna";"";"";"4";"11";"11,25";"";"1,24";"1,65";"3,40";
"300";"Anu";"11";"VESSEL_REGISTERED_FI";"29.12.1989";"";"246";"1955";"246";"Varkaus";"3";"609";"Savonlinna";"";"";"4";"11";"11,25";"";"1,24";"1,65";"3,40";
"301";"Akilles";"11";"VESSEL_REGISTERED_FI";"10.10.1973";"";"246";"";"";"";"1";"853";"Kotka";"";"";"18";"60";"18,34";"";"1,61";"2,15";"6,00";
"301";"Akilles";"11";"VESSEL_REGISTERED_FI";"10.10.1973";"";"246";"1958";"246";"Varkaus";"3";"609";"Kotka";"";"";"18";"60";"18,34";"";"1,61";"2,15";"6,00";
"302";"Lokki";"5";"VESSEL_REGISTERED_FI";"13.06.1974";"";"246";"";"";"";"1";"";"Helsinki";"";"";"47";"103";"23,07";"";"1,98";"2,64";"6,10";
"302";"Lokki";"5";"VESSEL_REGISTERED_FI";"13.06.1974";"";"246";"1913";"246";"Varkaus";"3";"609";"Helsinki";"";"";"47";"103";"23,07";"";"1,98";"2,64";"6,10";
"303";"Hanhi";"11";"VESSEL_REGISTERED_FI";"20.09.1989";"";"246";"";"";"";"1";"740";"Savonlinna";"";"";"14";"45";"17,52";"";"1,58";"2,10";"4,26";
"303";"Hanhi";"11";"VESSEL_REGISTERED_FI";"20.09.1989";"";"246";"1921";"246";"Varkaus";"3";"199";"Savonlinna";"";"";"14";"45";"17,52";"";"1,58";"2,10";"4,26";
"304";"Laitiala";"5";"VESSEL_REGISTERED_FI";"17.08.1979";"";"246";"";"";"";"1";"398";"Lahti";"78";"";"61";"177";"25,40";"";"2,00";"2,66";"6,46";
"304";"Laitiala";"5";"VESSEL_REGISTERED_FI";"17.08.1979";"";"246";"1903";"246";"Varkaus";"3";"199";"Lahti";"78";"";"61";"177";"25,40";"";"2,00";"2,66";"6,46";
"305";"Jalo";"11";"VESSEL_REGISTERED_FI";"13.10.1989";"";"246";"";"";"";"1";"980";"Tampere";"";"";"12";"38";"15,92";"";"1,59";"2,12";"4,22";
"305";"Jalo";"11";"VESSEL_REGISTERED_FI";"13.10.1989";"";"246";"1940";"";"";"3";"199";"Tampere";"";"";"12";"38";"15,92";"";"1,59";"2,12";"4,22";
"306";"Katrilli";"5";"VESSEL_REGISTERED_FI";"25.05.1989";"";"246";"";"";"";"1";"768";"Sulkava";"";"";"21";"38";"15,65";"";"1,50";"2,00";"4,92";
"306";"Katrilli";"5";"VESSEL_REGISTERED_FI";"25.05.1989";"";"246";"1989";"246";"Varkaus";"3";"199";"Sulkava";"";"";"21";"38";"15,65";"";"1,50";"2,00";"4,92";
"307";"Voima";"11";"VESSEL_REGISTERED_FI";"17.06.1988";"";"246";"";"";"";"1";"199";"Lappeenranta";"";"";"15";"47";"21,69";"";"1,86";"2,48";"4,86";
"307";"Voima";"11";"VESSEL_REGISTERED_FI";"17.06.1988";"";"246";"1906";"246";"Varkaus";"3";"199";"Lappeenranta";"";"";"15";"47";"21,69";"";"1,86";"2,48";"4,86";
"308";"Lisvel";"5";"VESSEL_REGISTERED_FI";"14.04.1992";"";"";"";"";"";"1";"420";"Leppävirta";"";"";"5";"12";"9,63";"";"1,29";"1,72";"3,40";
"308";"Lisvel";"5";"VESSEL_REGISTERED_FI";"14.04.1992";"";"";"";"";"";"1";"420";"Leppävirta";"";"";"5";"12";"9,63";"";"1,29";"1,72";"3,40";
"308";"Lisvel";"5";"VESSEL_REGISTERED_FI";"14.04.1992";"";"";"1988";"246";"Leppävirta";"3";"199";"Leppävirta";"";"";"5";"12";"9,63";"";"1,29";"1,72";"3,40";
"309";"Fidelio";"5";"VESSEL_REGISTERED_FI";"01.06.1989";"";"246";"";"";"";"1";"091";"Savonlinna";"";"";"24";"37";"18,83";"";"1,98";"2,64";"5,40";
"309";"Fidelio";"5";"VESSEL_REGISTERED_FI";"01.06.1989";"";"246";"1908";"246";"Varkaus";"3";"199";"Savonlinna";"";"";"24";"37";"18,83";"";"1,98";"2,64";"5,40";
"309";"Fidelio";"5";"VESSEL_REGISTERED_FI";"01.06.1989";"";"246";"1984";"246";"Savonlinna";"3";"199";"Savonlinna";"";"";"24";"37";"18,83";"";"1,98";"2,64";"5,40";
"310";"Hurja";"11";"VESSEL_REGISTERED_FI";"01.10.1982";"";"";"";"";"";"1";"853";"Parainen";"";"";"0";"11";"10,99";"11,64";"";"1,43";"3,14";
"310";"Hurja";"11";"VESSEL_REGISTERED_FI";"01.10.1982";"";"";"1928";"246";"Varkaus";"3";"199";"Parainen";"";"";"0";"11";"10,99";"11,64";"";"1,43";"3,14";
"311";"Hurtti";"11";"VESSEL_REGISTERED_FI";"01.11.1929";"";"246";"";"";"";"1";"199";"Kuopio";"";"";"7";"32";"16,94";"18,44";"1,70";"1,70";"4,35";
"311";"Hurtti";"11";"VESSEL_REGISTERED_FI";"01.11.1929";"";"246";"1909";"246";"Viipuri";"3";"199";"Kuopio";"";"";"7";"32";"16,94";"18,44";"1,70";"1,70";"4,35";
"312";"Söderskär";"5";"VESSEL_REGISTERED_FI";"23.03.1988";"";"246";"";"";"";"1";"753";"Pörtö";"";"";"19";"38";"14,19";"";"1,34";"1,82";"5,00";
"312";"Söderskär";"5";"VESSEL_REGISTERED_FI";"23.03.1988";"";"246";"1987";"246";"Virrat";"3";"936";"Pörtö";"";"";"19";"38";"14,19";"";"1,34";"1,82";"5,00";
"313";"Vispilä";"5";"VESSEL_REGISTERED_FI";"21.01.1993";"";"246";"";"";"";"1";"091";"Helsinki";"";"";"65";"135";"23,97";"";"1,95";"2,60";"7,20";
"313";"Vispilä";"5";"VESSEL_REGISTERED_FI";"21.01.1993";"";"246";"1993";"246";"Virrat";"3";"936";"Helsinki";"";"";"65";"135";"23,97";"";"1,95";"2,60";"7,20";
"314";"Vallisaari";"5";"VESSEL_REGISTERED_FI";"09.05.1990";"";"246";"";"";"";"1";"091";"Helsinki";"";"";"30";"42";"16,38";"";"1,28";"1,70";"5,20";
"314";"Vallisaari";"5";"VESSEL_REGISTERED_FI";"09.05.1990";"";"246";"1987";"246";"Virrat";"3";"936";"Helsinki";"";"";"30";"42";"16,38";"";"1,28";"1,70";"5,20";
"315";"VELLAMO";"5";"VESSEL_REGISTERED_FI";"01.02.1990";"";"246";"";"";"";"1";"892";"Jyväskylä";"";"";"89";"232";"29,99";"";"2,03";"2,70";"6,80";
